video,video_path,config_path,frame,timestamp_s,source_fps,bev_width,bev_height,target,target_available,vehicle_center_x,target_x,error_px,error_threshold_px,command,pseudo_left_offset_px,pseudo_right_offset_px,raw_left_detected,raw_right_detected,left_detected,right_detected,left_x_base,right_x_base,pseudo_left_x_base,center_x_base,pseudo_right_x_base,left_confidence,right_confidence,left_curvature,right_curvature,processing_ms,runtime_fps,lane_width_px,error_normalized,steering_raw,steering_filtered,steering_delta,steering_direction,steering_held,steering_saturated,controller_kp,controller_deadband_px,controller_smoothing_alpha,controller_max_step,controller_max_output,controller_hold_missing_frames
video_01,data/raw/test_video.mp4,config/test_video_params.json,38,1.427067,29.858562,480,600,center,1,240.0,244.559631,-4.559631,20.0,RETO,20.0,20.0,1,1,1,1,85.20507803772713,403.91418358249473,105.20507803772713,244.55963081011092,383.91418358249473,1.0,1.0,39696.6569973217,570568.225403154,141.2367,7.080313,318.709106,-0.028613,-0.02289,-0.025345,0.000818,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,39,1.460389,29.858562,480,600,center,1,240.0,244.647599,-4.647599,20.0,RETO,20.0,20.0,1,1,1,1,85.2587924640425,404.0364065087641,105.2587924640425,244.6475994864033,384.0364065087641,1.0,1.0,45204.62352613229,364307.0917764836,157.4876,6.349706,318.777614,-0.029159,-0.023327,-0.02484,0.000504,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,40,1.493722,29.858562,480,600,center,1,240.0,244.895954,-4.895954,20.0,RETO,20.0,20.0,1,1,1,1,85.41968968477659,404.3722174065256,105.41968968477659,244.89595354565108,384.3722174065256,1.0,1.0,52298.365655386995,322854.21266218397,150.6148,6.639454,318.952528,-0.0307,-0.02456,-0.02477,7e-05,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,41,1.527044,29.858562,480,600,center,1,240.0,245.258049,-5.258049,20.0,RETO,20.0,20.0,1,1,1,1,85.67513785965826,404.8409599747513,105.67513785965826,245.25804891720477,384.8409599747513,1.0,1.0,62081.57753554853,278307.3512083704,175.4658,5.699116,319.165822,-0.032949,-0.026359,-0.025167,-0.000397,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,42,1.560367,29.858562,480,600,center,1,240.0,245.672773,-5.672773,20.0,RETO,20.0,20.0,1,1,1,1,85.96156140281468,405.3839843080146,105.96156140281468,245.67277285541465,385.3839843080146,1.0,1.0,75181.1222793572,257918.5694492975,178.3677,5.606396,319.422423,-0.035519,-0.028415,-0.025979,-0.000812,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,43,1.5937,29.858562,480,600,center,1,240.0,246.119904,-6.119904,20.0,RETO,20.0,20.0,1,1,1,1,86.33404097525255,405.905766967358,106.33404097525255,246.11990397130523,385.905766967358,1.0,1.0,95414.9070732301,279873.7478792434,165.2166,6.052661,319.571726,-0.038301,-0.030641,-0.027145,-0.001165,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,44,1.627022,29.858562,480,600,center,1,240.0,246.607325,-6.607325,20.0,RETO,20.0,20.0,1,1,1,1,86.85199535293083,406.36265555359375,106.85199535293083,246.6073254532623,386.36265555359375,1.0,1.0,116309.43014629537,320965.9921918776,159.9099,6.253522,319.51066,-0.041359,-0.033087,-0.02863,-0.001486,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,45,1.660344,29.858562,480,600,center,1,240.0,247.112562,-7.112562,20.0,RETO,20.0,20.0,1,1,1,1,87.47003408897517,406.7550898724925,107.47003408897517,247.11256198073383,386.7550898724925,1.0,1.0,151056.6189662663,505097.0552898116,157.6184,6.344437,319.285056,-0.044553,-0.035642,-0.030383,-0.001753,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,46,1.693678,29.858562,480,600,center,1,240.0,247.683649,-7.683649,20.0,RETO,20.0,20.0,1,1,1,1,88.18777393352931,407.17952317839223,108.18777393352931,247.6836485559608,387.17952317839223,1.0,1.0,430327.2503676472,999999.0,146.2771,6.83634,318.991749,-0.048175,-0.03854,-0.032422,-0.002039,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,47,1.727,29.858562,480,600,center,1,240.0,248.425555,-8.425555,20.0,RETO,20.0,20.0,1,1,1,1,89.19250812169255,407.658601378108,109.19250812169255,248.4255547499003,387.658601378108,1.0,1.0,999999.0,999999.0,155.4775,6.431799,318.466093,-0.052913,-0.042331,-0.034899,-0.002477,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,48,1.760322,29.858562,480,600,center,1,240.0,249.261778,-9.261778,20.0,RETO,20.0,20.0,1,1,1,1,90.42333146640058,408.10022388412835,110.42333146640058,249.26177767526445,388.10022388412835,1.0,1.0,258207.3448902315,864315.4928124929,156.4844,6.390413,317.676892,-0.058309,-0.046648,-0.037836,-0.002937,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,49,1.793644,29.858562,480,600,center,1,240.0,250.139001,-10.139001,20.0,RETO,20.0,20.0,1,1,1,1,91.7732938124219,408.5047089504025,111.7732938124219,250.1390013814122,388.5047089504025,1.0,1.0,126661.82640698546,999999.0,157.6038,6.345025,316.731415,-0.064023,-0.051218,-0.041182,-0.003345,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,50,1.835311,29.858562,480,600,center,1,240.0,250.974511,-10.974511,20.0,RETO,20.0,20.0,1,1,1,1,93.15070878896648,408.7983141840755,113.15070878896648,250.974511486521,388.7983141840755,1.0,1.0,57283.35609695716,999999.0,155.967,6.411613,315.647605,-0.069536,-0.055629,-0.044794,-0.003612,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,51,1.868633,29.858562,480,600,center,1,240.0,251.806349,-11.806349,20.0,RETO,20.0,20.0,1,1,1,1,94.52119136647082,409.0915057992911,114.52119136647082,251.80634858288096,389.0915057992911,1.0,1.0,30501.186597981323,999999.0,161.3511,6.197665,314.570314,-0.075063,-0.060051,-0.048608,-0.003814,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,52,1.901956,29.858562,480,600,center,1,240.0,252.711902,-12.711902,20.0,RETO,20.0,20.0,1,1,1,1,95.88061038606278,409.54319354802146,115.88061038606278,252.7119019670421,389.54319354802146,1.0,1.0,19164.459643369388,660444.4387620111,169.1208,5.912933,313.662583,-0.081055,-0.064844,-0.052667,-0.004059,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,53,1.935289,29.858562,480,600,center,1,240.0,253.67386,-13.67386,20.0,RETO,20.0,20.0,1,1,1,1,97.16937150552805,410.1783475847218,117.16937150552805,253.6738595451249,390.1783475847218,1.0,1.0,12686.20240695955,451185.8693677147,169.6881,5.893165,313.008976,-0.08737,-0.069896,-0.056974,-0.004307,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,54,1.968611,29.858562,480,600,center,1,240.0,254.639645,-14.639645,20.0,RETO,20.0,20.0,1,1,1,1,98.41009797726588,410.86919103935503,118.41009797726588,254.63964450831045,390.86919103935503,1.0,1.0,9320.895819422141,398995.4544485998,158.3658,6.314495,312.459093,-0.093706,-0.074965,-0.061472,-0.004498,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,55,2.001933,29.858562,480,600,center,1,240.0,255.432984,-15.432984,20.0,RETO,20.0,20.0,1,1,1,1,99.33349924542509,411.53246806856936,119.33349924542509,255.43298365699724,391.53246806856936,1.0,1.0,6621.0244011934,608190.2006808771,148.7826,6.721216,312.198969,-0.098866,-0.079093,-0.065877,-0.004405,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,56,2.035267,29.858562,480,600,center,1,240.0,256.166402,-16.166402,20.0,RETO,20.0,20.0,1,1,1,1,100.05595507176119,412.2768485421359,120.05595507176119,256.16640180694856,392.2768485421359,1.0,1.0,4965.256817261327,816690.2134581369,148.9004,6.715899,312.220893,-0.103557,-0.082846,-0.070119,-0.004242,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,57,2.068589,29.858562,480,600,center,1,240.0,256.617217,-16.617217,20.0,RETO,20.0,20.0,1,1,1,1,100.09092881517336,413.14350434014864,120.09092881517336,256.617216577661,393.14350434014864,1.0,1.0,3453.3349348936613,750873.7858851684,155.1869,6.443843,313.052576,-0.106162,-0.08493,-0.073822,-0.003703,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
