video,video_path,config_path,frame,timestamp_s,source_fps,bev_width,bev_height,target,target_available,vehicle_center_x,target_x,error_px,error_threshold_px,command,pseudo_left_offset_px,pseudo_right_offset_px,raw_left_detected,raw_right_detected,left_detected,right_detected,left_x_base,right_x_base,pseudo_left_x_base,center_x_base,pseudo_right_x_base,left_confidence,right_confidence,left_curvature,right_curvature,processing_ms,runtime_fps
video_01,data/raw/test_video.mp4,config/test_video_params.json,36,1.360422,29.858562,480,600,center,1,240.0,244.637137,-4.637137,20.0,RETO,20.0,20.0,1,1,1,1,85.1940181148605,404.0802556367841,105.1940181148605,244.6371368758223,384.0802556367841,1.0,1.0,33200.056720142464,999999.0,163.8633,6.102648
video_01,data/raw/test_video.mp4,config/test_video_params.json,37,1.393744,29.858562,480,600,center,1,240.0,244.575861,-4.575861,20.0,RETO,20.0,20.0,1,1,1,1,85.20413085303275,403.9475901751247,105.20413085303275,244.5758605140787,383.9475901751247,1.0,1.0,35671.135363160145,844944.2702338558,163.4965,6.116339
video_01,data/raw/test_video.mp4,config/test_video_params.json,38,1.427067,29.858562,480,600,center,1,240.0,244.559631,-4.559631,20.0,RETO,20.0,20.0,1,1,1,1,85.20507803772713,403.91418358249473,105.20507803772713,244.55963081011092,383.91418358249473,1.0,1.0,39696.6569973217,570568.225403154,174.5709,5.728332
video_01,data/raw/test_video.mp4,config/test_video_params.json,39,1.460389,29.858562,480,600,center,1,240.0,244.647599,-4.647599,20.0,RETO,20.0,20.0,1,1,1,1,85.2587924640425,404.0364065087641,105.2587924640425,244.6475994864033,384.0364065087641,1.0,1.0,45204.62352613229,364307.0917764836,159.2239,6.280464
video_01,data/raw/test_video.mp4,config/test_video_params.json,40,1.493722,29.858562,480,600,center,1,240.0,244.895954,-4.895954,20.0,RETO,20.0,20.0,1,1,1,1,85.41968968477659,404.3722174065256,105.41968968477659,244.89595354565108,384.3722174065256,1.0,1.0,52298.365655386995,322854.21266218397,171.9389,5.81602
video_01,data/raw/test_video.mp4,config/test_video_params.json,41,1.527044,29.858562,480,600,center,1,240.0,245.258049,-5.258049,20.0,RETO,20.0,20.0,1,1,1,1,85.67513785965826,404.8409599747513,105.67513785965826,245.25804891720477,384.8409599747513,1.0,1.0,62081.57753554853,278307.3512083704,160.5819,6.227352
video_01,data/raw/test_video.mp4,config/test_video_params.json,42,1.560367,29.858562,480,600,center,1,240.0,245.672773,-5.672773,20.0,RETO,20.0,20.0,1,1,1,1,85.96156140281468,405.3839843080146,105.96156140281468,245.67277285541465,385.3839843080146,1.0,1.0,75181.1222793572,257918.5694492975,172.1269,5.809667
video_01,data/raw/test_video.mp4,config/test_video_params.json,43,1.5937,29.858562,480,600,center,1,240.0,246.119904,-6.119904,20.0,RETO,20.0,20.0,1,1,1,1,86.33404097525255,405.905766967358,106.33404097525255,246.11990397130523,385.905766967358,1.0,1.0,95414.9070732301,279873.7478792434,170.4651,5.866303
video_01,data/raw/test_video.mp4,config/test_video_params.json,44,1.627022,29.858562,480,600,center,1,240.0,246.607325,-6.607325,20.0,RETO,20.0,20.0,1,1,1,1,86.85199535293083,406.36265555359375,106.85199535293083,246.6073254532623,386.36265555359375,1.0,1.0,116309.43014629537,320965.9921918776,160.4287,6.233299
video_01,data/raw/test_video.mp4,config/test_video_params.json,45,1.660344,29.858562,480,600,center,1,240.0,247.112562,-7.112562,20.0,RETO,20.0,20.0,1,1,1,1,87.47003408897517,406.7550898724925,107.47003408897517,247.11256198073383,386.7550898724925,1.0,1.0,151056.6189662663,505097.0552898116,167.1293,5.983391
